dpca_dim,success rate,Z1,Z2,seed,method
20,0.77,8,12,3,NDPCA (ours)
12,0.78,4,8,2,NDPCA (ours)
20,0.73,7,13,5,NDPCA (ours)
12,0.78,5,7,0,NDPCA (ours)
12,0.91,5,7,1,NDPCA (ours)
12,0.82,5,7,3,NDPCA (ours)
16,0.85,5,11,2,NDPCA (ours)
8,0.69,3,5,5,NDPCA (ours)
16,0.75,5,11,5,NDPCA (ours)
24,0.8,7,17,2,NDPCA (ours)
16,0.83,6,10,0,NDPCA (ours)
16,0.82,6,10,1,NDPCA (ours)
16,0.81,6,10,3,NDPCA (ours)
20,0.88,8,12,0,NDPCA (ours)
20,0.78,6,14,2,NDPCA (ours)
24,0.71,7,17,5,NDPCA (ours)
8,0.69,3,5,3,NDPCA (ours)
12,0.73,4,8,5,NDPCA (ours)
8,0.81,3,5,1,NDPCA (ours)
4,0.02,1,3,2,NDPCA (ours)
4,0.17,1,3,3,NDPCA (ours)
4,0.03,1,3,5,NDPCA (ours)
4,0.07,2,2,0,NDPCA (ours)
8,0.73,3,5,2,NDPCA (ours)
24,0.86,10,14,0,NDPCA (ours)
4,0.01,2,2,1,NDPCA (ours)
20,0.86,7,13,1,NDPCA (ours)
24,0.83,9,15,3,NDPCA (ours)
24,0.81,9,15,1,NDPCA (ours)
8,0.74,3,5,0,NDPCA (ours)
24,0.64,24,0,0,DAE
8,0.67,8,0,0,DAE
12,0.8,12,0,4,DAE
4,0.69,4,0,4,DAE
4,0.7,4,0,3,DAE
4,0.28,4,0,2,DAE
12,0.69,12,0,2,DAE
8,0.73,8,0,3,DAE
8,0.77,8,0,4,DAE
4,0.5,4,0,1,DAE
4,0.6,4,0,0,DAE
12,0.8,12,0,0,DAE
12,0.6,12,0,1,DAE
12,0.67,12,0,3,DAE
8,0.83,8,0,2,DAE
24,0.78,24,0,2,DAE
24,0.78,24,0,3,DAE
24,0.72,24,0,4,DAE
8,0.67,8,0,1,DAE
24,0.63,24,0,1,DAE
24,0.8,24,0,2,JAE
24,0.81,24,0,1,JAE
24,0.58,24,0,0,JAE
12,0.77,12,0,4,JAE
12,0.73,12,0,3,JAE
12,0.78,12,0,2,JAE
12,0.81,12,0,1,JAE
12,0.8,12,0,0,JAE
8,0.78,8,0,3,JAE
8,0.77,8,0,2,JAE
8,0.65,8,0,1,JAE
8,0.56,8,0,0,JAE
4,0.64,4,0,4,JAE
4,0.6,4,0,3,JAE
4,0.49,4,0,1,JAE
4,0.68,4,0,0,JAE
8,0.8,8,0,4,JAE
4,0.64,4,0,2,JAE
24,0.68,24,0,4,JAE
24,0.75,24,0,3,JAE
24,0.27,7,17,4,Task-agnostic NDPCA
4,0.03,0,4,1,Task-agnostic NDPCA
4,0.09,0,4,2,Task-agnostic NDPCA
4,0.03,0,4,3,Task-agnostic NDPCA
4,0.09,0,4,4,Task-agnostic NDPCA
8,0.29,2,6,0,Task-agnostic NDPCA
8,0.16,2,6,1,Task-agnostic NDPCA
8,0.18,2,6,2,Task-agnostic NDPCA
8,0.25,2,6,3,Task-agnostic NDPCA
8,0.32,2,6,4,Task-agnostic NDPCA
12,0.23,4,8,0,Task-agnostic NDPCA
12,0.23,4,8,1,Task-agnostic NDPCA
12,0.14,4,8,2,Task-agnostic NDPCA
12,0.22,4,8,3,Task-agnostic NDPCA
12,0.24,4,8,4,Task-agnostic NDPCA
16,0.2,5,11,1,Task-agnostic NDPCA
16,0.22,5,11,2,Task-agnostic NDPCA
16,0.26,5,11,4,Task-agnostic NDPCA
16,0.24,6,10,0,Task-agnostic NDPCA
16,0.2,6,10,3,Task-agnostic NDPCA
20,0.17,6,14,1,Task-agnostic NDPCA
20,0.14,6,14,2,Task-agnostic NDPCA
20,0.34,6,14,4,Task-agnostic NDPCA
20,0.3,7,13,0,Task-agnostic NDPCA
20,0.22,7,13,3,Task-agnostic NDPCA
24,0.31,7,17,0,Task-agnostic NDPCA
24,0.17,7,17,1,Task-agnostic NDPCA
24,0.26,7,17,2,Task-agnostic NDPCA
24,0.21,8,16,3,Task-agnostic NDPCA
4,0.06,0,4,0,Task-agnostic NDPCA
4,0.83,4,0,0,Uncompressed
8,0.83,8,0,0,Uncompressed
12,0.83,12,0,0,Uncompressed
16,0.83,16,0,0,Uncompressed
20,0.83,20,0,0,Uncompressed
24,0.83,24,0,0,Uncompressed
