dpca_dim,dim of z1 private,dim of z2 private,dim of z3 private,dim of z4 private,testmAP,seed,method
4,0,0,3,1,0.17441314458847046,2,NDPCA (4 sources)
8,1,0,4,3,0.46353456377983093,2,NDPCA (4 sources)
12,3,1,4,4,0.6442717909812927,2,NDPCA (4 sources)
16,4,4,4,4,0.7169955372810364,2,NDPCA (4 sources)
20,4,4,6,6,0.7272032499313354,2,NDPCA (4 sources)
24,6,4,7,7,0.735274612903595,2,NDPCA (4 sources)
28,7,5,9,7,0.734752357006073,2,NDPCA (4 sources)
32,8,6,10,8,0.7339931130409241,2,NDPCA (4 sources)
36,9,7,11,9,0.7355629205703735,2,NDPCA (4 sources)
40,9,7,13,11,0.7363615036010742,2,NDPCA (4 sources)
4,0,0,2,2,0.18324442207813263,10,NDPCA (4 sources)
8,1,0,3,4,0.4463314414024353,10,NDPCA (4 sources)
12,3,1,4,4,0.6349481344223022,10,NDPCA (4 sources)
16,4,3,5,4,0.7307431101799011,10,NDPCA (4 sources)
20,5,4,5,6,0.7574300169944763,10,NDPCA (4 sources)
24,5,5,7,7,0.773608922958374,10,NDPCA (4 sources)
28,6,6,8,8,0.7730897068977356,10,NDPCA (4 sources)
32,7,6,9,10,0.7747035622596741,10,NDPCA (4 sources)
36,8,8,10,10,0.772229790687561,10,NDPCA (4 sources)
40,9,8,11,12,0.7713022828102112,10,NDPCA (4 sources)
