dpca_dim,dim of z1 private,dim of z1 share,dim of z2 private,testmAP,seed,method
4,2,2,0,0.051837336272001266,0,Nuclear norm
8,6,2,0,0.26869437098503113,0,Nuclear norm
12,9,3,0,0.4195541739463806,0,Nuclear norm
16,11,5,0,0.530325174331665,0,Nuclear norm
20,13,7,0,0.7209572196006775,0,Nuclear norm
24,16,8,0,0.7747275233268738,0,Nuclear norm
28,17,11,0,0.7985551357269287,0,Nuclear norm
32,19,13,0,0.8094298243522644,0,Nuclear norm
36,21,15,0,0.8085423707962036,0,Nuclear norm
40,24,16,0,0.8088911175727844,0,Nuclear norm
4,3,1,0,0.05264138802886009,1,Nuclear norm
8,6,2,0,0.2582426071166992,1,Nuclear norm
12,9,3,0,0.4063723683357239,1,Nuclear norm
16,11,5,0,0.5337884426116943,1,Nuclear norm
20,14,6,0,0.6071439385414124,1,Nuclear norm
24,16,8,0,0.6915257573127747,1,Nuclear norm
28,17,11,0,0.754901647567749,1,Nuclear norm
32,18,14,0,0.7989984154701233,1,Nuclear norm
36,20,16,0,0.8043588399887085,1,Nuclear norm
40,23,17,0,0.8069037199020386,1,Nuclear norm
4,3,1,0,0.04490254074335098,0,Cosine similarity
8,7,1,0,0.27378159761428833,0,Cosine similarity
12,10,2,0,0.44856977462768555,0,Cosine similarity
16,12,4,0,0.5907783508300781,0,Cosine similarity
20,14,6,0,0.7535526752471924,0,Cosine similarity
24,16,8,0,0.7907400131225586,0,Cosine similarity
28,19,9,0,0.8044173717498779,0,Cosine similarity
32,20,12,0,0.809840977191925,0,Cosine similarity
36,23,13,0,0.8087947368621826,0,Cosine similarity
40,26,14,0,0.8080382943153381,0,Cosine similarity
4,3,1,0,0.032001957297325134,1,Cosine similarity
8,7,1,0,0.29016056656837463,1,Cosine similarity
12,10,2,0,0.421545147895813,1,Cosine similarity
16,13,3,0,0.4783025085926056,1,Cosine similarity
20,14,6,0,0.5986887812614441,1,Cosine similarity
24,17,7,0,0.6857571005821228,1,Cosine similarity
28,19,9,0,0.7430011630058289,1,Cosine similarity
32,21,11,0,0.7806733846664429,1,Cosine similarity
36,23,13,0,0.7933531403541565,1,Cosine similarity
40,25,15,0,0.8056199550628662,1,Cosine similarity
